time	V(pulse)	V(ref)	V(v+)
1.887235752707302e-07	2.771940e-03	2.834118e-03	3.297166e+00
1.887276380716063e-07	2.778724e-03	2.834118e-03	3.297166e+00
1.887317001822276e-07	2.790292e-03	2.834118e-03	3.297166e+00
1.887370517756488e-07	2.810270e-03	2.834118e-03	3.297166e+00
1.887423436310956e-07	2.831850e-03	2.834118e-03	3.297166e+00
1.887487077199075e-07	2.855133e-03	2.834118e-03	3.297166e+00
1.887561550175887e-07	2.874213e-03	2.834118e-03	3.297166e+00
1.887612341581321e-07	2.879892e-03	2.834118e-03	3.297166e+00
1.887649487530745e-07	2.878383e-03	2.834117e-03	3.297166e+00
1.887699146678121e-07	2.869996e-03	2.834117e-03	3.297166e+00
1.887748974815382e-07	2.856290e-03	2.834117e-03	3.297166e+00
1.887825853460391e-07	2.830196e-03	2.834117e-03	3.297166e+00
1.887899059793082e-07	2.806510e-03	2.834117e-03	3.297166e+00
1.887968418376680e-07	2.791256e-03	2.834117e-03	3.297166e+00
1.888039674626003e-07	2.786549e-03	2.834118e-03	3.297166e+00
1.888085620226951e-07	2.790988e-03	2.834118e-03	3.297166e+00
1.888130140024632e-07	2.801800e-03	2.834118e-03	3.297166e+00
1.888190884197557e-07	2.822654e-03	2.834118e-03	3.297166e+00
1.888261897703568e-07	2.849525e-03	2.834118e-03	3.297166e+00
1.888344249612534e-07	2.876045e-03	2.834118e-03	3.297166e+00
1.888416588842517e-07	2.889223e-03	2.834118e-03	3.297166e+00
1.888467778416275e-07	2.888998e-03	2.834117e-03	3.297166e+00
1.888517608056598e-07	2.879604e-03	2.834117e-03	3.297166e+00
1.888570664943580e-07	2.861481e-03	2.834116e-03	3.297166e+00
1.888634472389639e-07	2.832950e-03	2.834116e-03	3.297166e+00
1.888711003144809e-07	2.797880e-03	2.834117e-03	3.297166e+00
1.888798291620526e-07	2.767016e-03	2.834117e-03	3.297166e+00
1.888860837855974e-07	2.756708e-03	2.834118e-03	3.297166e+00
1.888898190612094e-07	2.758784e-03	2.834118e-03	3.297166e+00
1.888942806948374e-07	2.769713e-03	2.834119e-03	3.297166e+00
1.888988116176780e-07	2.787867e-03	2.834119e-03	3.297166e+00
1.889059279166800e-07	2.824152e-03	2.834119e-03	3.297166e+00
1.889131663505110e-07	2.861435e-03	2.834119e-03	3.297166e+00
1.889208221098987e-07	2.890683e-03	2.834118e-03	3.297166e+00
1.889294522161781e-07	2.904499e-03	2.834118e-03	3.297166e+00
1.889342304162616e-07	2.900210e-03	2.834117e-03	3.297166e+00
1.889387856638249e-07	2.885687e-03	2.834117e-03	3.297166e+00
1.889449627285774e-07	2.856303e-03	2.834116e-03	3.297166e+00
1.889522074230122e-07	2.816313e-03	2.834116e-03	3.297166e+00
1.889597627116598e-07	2.778399e-03	2.834117e-03	3.297166e+00
1.889681049177680e-07	2.751762e-03	2.834118e-03	3.297166e+00
1.889749581447807e-07	2.747504e-03	2.834118e-03	3.297166e+00
1.889799357621556e-07	2.757602e-03	2.834119e-03	3.297166e+00
1.889849541165531e-07	2.778843e-03	2.834120e-03	3.297166e+00
1.889916015780994e-07	2.816549e-03	2.834120e-03	3.297166e+00
1.889992177516309e-07	2.862511e-03	2.834119e-03	3.297166e+00
1.890071064702321e-07	2.901217e-03	2.834119e-03	3.297166e+00
1.890158636423873e-07	2.925296e-03	2.834118e-03	3.297166e+00
1.890206895820751e-07	2.926171e-03	2.834117e-03	3.297166e+00
1.890252860730284e-07	2.916307e-03	2.834116e-03	3.297166e+00
1.890298569981275e-07	2.898481e-03	2.834116e-03	3.297166e+00
1.890370743911115e-07	2.861485e-03	2.834115e-03	3.297166e+00
1.890449366655757e-07	2.819092e-03	2.834115e-03	3.297166e+00
